accion,estrategia,TP,SL,TR,sample,sample_per,Resultados,Efectividad,RR,Operaciones
SOXL,estrategia_0,4.13,-2.95,3.11,48,18.97,-5.151,12.5,1.4,8
SOXL,estrategia_1,3.75,-2.84,1.73,51,20.16,-3.312,25.0,1.3204225352112677,8
SOXL,estrategia_2,3.44,-2.37,1.76,22,19.13,-3.168,25.0,1.451476793248945,8
SPCE,estrategia_0,5.83,-4.42,4.11,68,6.98,13.021,66.667,1.3190045248868778,12
SPCE,estrategia_1,1.96,-5.42,1.65,165,16.94,9.141,66.667,0.36162361623616235,12
SPCE,estrategia_2,6.81,-3.05,3.04,18,19.35,12.459,66.667,2.232786885245902,12
TQQQ,estrategia_0,2.98,-2.63,1.95,185,14.71,2.852,50.0,1.1330798479087454,4
TQQQ,estrategia_1,1.81,-2.88,1.1,234,18.6,0.38,50.0,0.6284722222222222,4
TQQQ,estrategia_2,1.71,-1.74,0.96,22,18.97,1.215,50.0,0.9827586206896551,4
UAL,estrategia_0,3.26,-2.47,2.46,138,10.97,6.123,75.0,1.3198380566801617,8
UAL,estrategia_1,0.97,-1.71,0.71,226,17.97,6.289,87.5,0.5672514619883041,8
UAL,estrategia_2,1.62,-2.47,1.02,22,18.97,5.978,75.0,0.6558704453441295,8
VIAC,estrategia_0,2.95,-1.88,2.16,139,11.05,-1.818,42.857,1.569148936170213,7
VIAC,estrategia_1,0.93,-1.82,0.75,225,17.89,-2.384,42.857,0.510989010989011,7
VIAC,estrategia_2,2.58,-2.35,1.21,21,18.1,-1.39,42.857,1.097872340425532,7
WFC,estrategia_0,2.19,-1.76,1.32,37,14.62,-0.341,33.333,1.2443181818181819,3
WFC,estrategia_1,1.22,-1.86,0.81,51,20.16,0.728,66.667,0.6559139784946236,3
WFC,estrategia_2,0.91,-1.72,0.57,23,20.0,0.573,100.0,0.5290697674418605,3
X,estrategia_0,2.74,-2.18,1.84,138,10.97,1.558,40.0,1.2568807339449541,10
X,estrategia_1,2.5,-2.51,1.25,235,18.68,0.104,40.0,0.9960159362549802,10
X,estrategia_2,3.9,-3.02,1.93,22,18.97,0.4,40.0,1.2913907284768211,10
XLE,estrategia_0,2.07,-1.6,0.78,46,18.18,1.202,75.0,1.2937499999999997,4
XLE,estrategia_1,1.18,-1.8,0.84,49,19.37,1.398,75.0,0.6555555555555556,4
XLE,estrategia_2,0.75,-1.98,0.59,24,20.87,1.178,75.0,0.3787878787878788,4
XOM,estrategia_0,2.15,-1.51,1.17,45,17.79,2.056,66.667,1.423841059602649,3
XOM,estrategia_1,0.94,-1.82,0.75,48,18.97,1.722,100.0,0.5164835164835164,3
XOM,estrategia_2,0.79,-1.83,0.7,24,20.87,1.722,100.0,0.43169398907103823,3
XOP,estrategia_0,2.74,-2.1,1.98,168,13.35,2.829,71.429,1.3047619047619048,7
XOP,estrategia_1,0.93,-1.89,0.76,234,18.6,-0.45,57.143,0.4920634920634921,7
XOP,estrategia_2,1.96,-2.13,1.0,24,20.69,4.415,71.429,0.9201877934272301,7
XPEV,estrategia_0,4.08,-3.57,3.28,72,30.0,-0.876,40.0,1.142857142857143,10
XPEV,estrategia_1,4.41,-3.67,1.94,46,19.17,3.071,50.0,1.2016348773841963,10
XPEV,estrategia_2,4.83,-2.25,2.03,24,20.69,4.194,50.0,2.1466666666666665,10
