,Date,gap,Open,Open_1,mov_high,mov_low,cierre,Volume,Close
42,2021-06-11,4.456866596162567,69.14,69.8314,-0.8325767491415068,-1.691789080556879,-1.519946614273817,6928016,68.77
43,2021-03-29,-0.3678724708767549,65.0,65.65,1.203351104341191,-1.1728865194211884,0.8225437928408105,7902562,66.19
44,2021-03-26,-5.154791882684052,64.03,64.6703,0.9582451295262412,-1.1911186433339553,0.8809298858981595,6017132,65.24
45,2021-06-08,0.029664787896760636,67.44,68.1144,-0.7405188917468317,-1.650752263838496,-0.8873307259551553,5489219,67.51
46,2021-06-07,3.1741187242484328,67.61,68.2861,-0.47754960379932504,-1.7223124471891134,-1.2683401160704784,7863335,67.42
47,2021-03-22,-3.640192539109509,64.06,64.70060000000001,1.4828301437699,-1.2992151541098678,1.2819046500341456,6769189,65.53
48,2021-06-03,2.933832709113601,65.96,66.61959999999999,-0.029420771064366875,-1.2452791670919445,-0.20954794084621842,6755423,66.48
49,2021-03-18,-2.6025719534598837,63.62,64.25619999999999,1.1264282668443066,-0.9900990099009829,-0.27421478394301935,7443113,64.08
50,2021-06-01,0.49916805324458974,66.44,67.1044,-0.8261753327650662,-2.957183135532087,-2.6591400861940575,6573132,65.32
51,2021-05-28,0.22761760242790813,66.05,66.7105,-0.030729795159680124,-1.364852609409312,-0.9001581460189876,5940055,66.11
52,2021-05-27,0.33157498116051076,66.57,67.2357,-0.15720814983706394,-2.1204508914163043,-1.9865934317631686,8047699,65.9
53,2021-05-26,-0.06039559112185754,66.19,66.8519,-0.6759718123194627,-1.947439040625627,-0.7507640022198415,5932638,66.35
54,2021-05-25,-0.19279252558209944,67.3,67.973,-0.8429817721742358,-2.9026231003486664,-2.5642534535771486,9357395,66.23
55,2021-05-24,0.5090909090909008,69.1,69.791,-0.7895000788067257,-3.454600163344846,-3.3829576879540197,7005125,67.43
56,2021-05-21,7.752895752895747,69.77,70.4677,-0.5076084503964144,-2.494334283650524,-2.437570688414683,6478656,68.75
57,2021-03-08,-5.824817518248167,64.51,65.1551,2.3097194233452054,-1.8342386091035137,-0.6217471847944435,10646890,64.75
58,2021-05-19,-0.9295570079883815,68.21,68.8921,-0.46754272260535834,-1.9481188699430008,-0.5691508895795008,6174072,68.5
59,2021-05-18,7.412565769111717,69.41,70.1041,-0.33393196688923754,-1.8602335669383179,-1.7889110622631317,5885321,68.85
60,2021-03-05,-7.456588355464759,63.42,64.05420000000001,1.0862675671540527,-1.1774403551992085,0.8833144430810091,9761404,64.62
61,2021-05-14,8.983077653012812,68.91,69.59909999999999,-0.6021629590037603,-1.7372351079252353,-1.5360830815340887,7079213,68.53
62,2021-03-04,-4.268292682926825,62.8,63.428,1.7531689474680094,-1.415778520527206,-0.31216497445922997,15847160,63.23
63,2021-01-29,-5.809859154929568,64.2,64.842,2.1405878905647655,-1.236852657228328,1.1689954042133117,11724090,65.6
64,2021-01-25,5.337123006474018,66.71,67.3771,1.3103858729449716,-1.4501959864701701,1.1619674934065105,8443926,68.16
